# Format is 'x_offset','y_baseline_offset','x_advance'

# Control characters (0 - 31)
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8
0 0 8

# Regular characters (32 - 127)
0 0 8	# space
5 0 6	# !
4 0 8	# "
1 0 14	# #
2 0 12	# $
1 0 14	# %
1 0 13	# &
7 0 2	# '
5 0 6	# (
5 0 6	# )
3 0 10	# *
3 0 10	# +
6 0 4	# ,
3 0 10	# -
7 0 2	# .
3 0 9	# /
3 0 10	# 0
5 0 6	# 1
4 0 8	# 2
4 0 8	# 3
2 0 12	# 4
3 0 10	# 5
4 0 8	# 6
3 0 10	# 7
4 0 8	# 8
4 0 8	# 9
7 0 2	# :
5 0 4	# ;
4 0 7	# <
2 0 12	# =
4 0 7	# >
4 0 8	# ?
1 0 14	# @
1 0 14	# A
3 0 9	# B
3 0 10	# C
3 0 10	# D
4 0 8	# E
4 0 8	# F
1 0 13	# G
2 0 12	# H
2 0 12	# I
2 0 12	# J
3 0 10	# K
2 0 12	# L
2 0 12	# M
2 0 12	# N
1 0 14	# O
3 0 9	# P
1 0 14	# Q
3 0 9	# R
2 0 12	# S
2 0 12	# T
2 0 12	# U
2 0 12	# V
1 0 14	# W
1 0 14	# X
2 0 12	# Y
2 0 12	# Z
5 0 6	# [
3 0 9	# /
5 0 6	# ]
2 0 12	# ^
2 0 12	# _
6 0 4	# `
2 0 12	# a
3 0 10	# b
4 0 7	# c
2 0 12	# d
3 0 10	# e
3 0 8	# f
3 5 10	# g
4 0 8	# h
7 0 2	# i
4 1 6 # j
4 0 8	# k
5 0 6	# l
2 0 12	# m
4 0 8	# n
4 0 8	# o
3 4 10	# p
3 4 10	# q
4 0 8	# r
4 0 8	# s
4 0 7	# t
4 0 8	# u
2 0 12	# v
1 0 14	# w
3 0 10	# x
1 2 12	# y
4 0 7	# z
3 0 9	# {
7 0 2	# |
3 0 9	# }
1 0 13	# ~
0 0 16	# del
